VisCent ,VisPeri ,SomMotA ,SomMotB ,DorsAttnA ,DorsAttnB ,SalVentAttnA ,SalVentAttnB ,Limbic_Pole ,Limbic_OFC ,ContC ,ContA ,ContB ,TempPar ,DefaultC ,DefaultA ,DefaultB
0.0082651,0.021334,-0.01941,0.0058559,0.031159,0.047807,0.014319,0.087488,0.0079494,0.0031988,0.066521,0.062158,0.0902,0.0058774,0.04385,0.074689,0.097091
0.010144,0.024636,-0.015146,0.011796,0.035664,0.051041,0.024061,0.10072,0.012899,0.0061303,0.073545,0.068441,0.098256,0.0067056,0.048325,0.084738,0.10329
0.0044565,-0.075347,-0.1202,-0.088237,-0.11847,-0.16488,-0.095763,-0.13676,-0.11146,-0.039576,-0.054419,-0.14078,-0.17297,-0.035957,-0.065695,-0.14881,-0.17656
0.0031628,-0.079282,-0.12184,-0.091191,-0.131,-0.18441,-0.10599,-0.15438,-0.11548,-0.040809,-0.061978,-0.16261,-0.19373,-0.039875,-0.071143,-0.15272,-0.18346
0.010375,-0.068021,-0.083333,-0.04398,-0.10976,-0.1174,-0.041488,-0.043359,-0.069443,-0.024404,-0.02135,-0.12665,-0.15827,-0.039013,-0.031866,-0.097704,-0.19347
0.0095153,-0.069488,-0.084387,-0.044346,-0.11207,-0.12,-0.042736,-0.047402,-0.071525,-0.025409,-0.023301,-0.12908,-0.16443,-0.039782,-0.033138,-0.10313,-0.20174
-0.0020081,-0.0955,-0.10635,-0.09902,-0.14171,-0.18886,-0.12293,-0.14387,-0.11144,-0.053291,-0.078271,-0.23238,-0.24463,-0.04623,-0.071269,-0.16394,-0.25466
-0.0024331,-0.10297,-0.10683,-0.10097,-0.15222,-0.19923,-0.12463,-0.15633,-0.11461,-0.053847,-0.08324,-0.24167,-0.26669,-0.049623,-0.077053,-0.18074,-0.2801
0.0071526,-0.11132,-0.11935,-0.085427,-0.18873,-0.22017,-0.085589,-0.16963,-0.12324,-0.040501,-0.089627,-0.23934,-0.31104,-0.060623,-0.090872,-0.21688,-0.35481
0.0071367,-0.11309,-0.12167,-0.086415,-0.18962,-0.21777,-0.086664,-0.16904,-0.12394,-0.04095,-0.089004,-0.23489,-0.3145,-0.06133,-0.090854,-0.22174,-0.36193
0.0095397,-0.076074,-0.014733,0.01267,-0.13876,-0.061813,0.06143,-0.027585,-0.023481,0.011214,-0.010668,0.01993,-0.21916,-0.046088,-0.037676,-0.21525,-0.30066
0.0070355,-0.057088,-0.067156,-0.0014779,-0.12559,-0.11931,0.0046259,-0.064194,-0.068805,0.0041913,-0.045112,-0.034593,-0.17357,-0.043263,-0.054392,-0.16469,-0.22387
0.0086023,-0.061037,-0.01491,0.030351,-0.13292,-0.086029,0.041436,-0.05563,-0.033068,0.0070753,-0.03376,-0.0081029,-0.22151,-0.044885,-0.048398,-0.21159,-0.29579
