,De0.05,De0.01,De0.001,De0.0001
Early.Fetal,0.977066667,0.464810127,1,1
Early.Mid.Fetal,3.54E-10,0.004231111,0.021333333,0.140487805
Late.Mid.Fetal,0.15627907,0.211376147,0.929174312,0.5
Late.Fetal,0.115443038,0.436078431,1,1
Neotal.Early.Infancy,0.048813559,0.163636364,0.37106383,0.202352941
Late.Infancy,0.077647059,0.001597714,0.092307692,0.712727273
Early.Childhood,0.08,0.029387755,1,1
Middle.Late.Childhood,0.268,0.189090909,0.211376147,0.37106383
Adolescence,0.142857143,0.029387755,0.37106383,0.474
Young.Adulthood,0.043636364,0.002253913,0.00832,0.65106383
