,In0.05,In0.01,In0.001,In0.0001
Early.Fetal,0.246153846,0.343937008,0.485853659,1
Early.Mid.Fetal,1.17E-08,0.010235294,1,1
Late.Mid.Fetal,0.092307692,0.029387755,0.421621622,1
Late.Fetal,0.021333333,0.951272727,1,1
Neotal.Early.Infancy,0.012972973,0.752941176,0.436078431,0.752941176
Late.Infancy,0.186947368,0.37106383,0.977066667,1
Early.Childhood,0.189090909,0.856338028,1,1
Middle.Late.Childhood,0.167191011,0.473962264,1,1
Adolescence,0.043636364,0.142857143,0.436078431,0.511242604
Young.Adulthood,0.186947368,0.417534247,0.513684211,0.708923077
